,date,game_time,away_team,away_odds_ml,home_team,home_odds_ml,home_point_spread,home_odds_spread,away_point_spread,away_odds_spread,N
0,04-02-2022,18:09:00,Villanova,180,Kansas,-220,-4.5,-110,4.5,-110,N
1,04-02-2022,20:49:00,North Carolina,145,Duke,-200,-4.0,-118,4.0,-111,N
