,Unnamed: 0,date,game_time,away_team,away_odds_ml,home_team,home_odds_ml,home_point_spread,home_odds_spread,away_point_spread,away_odds_spread,N,year,exp_win_away,exp_win_home,exp_win_away_recent,exp_win_home_recent,exp_value_away,exp_value_home,exp_value_away_recent,exp_value_home_recent
0,0,04-02-2022,18:09:00,Villanova,180,Kansas,-220,-4.5,-110,4.5,-110,N,2021-22,0.503,0.484,0.494,0.489,0.4084,-0.296,0.3832,-0.2887
1,1,04-02-2022,20:49:00,North Carolina,145,Duke,-200,-4.0,-118,4.0,-111,N,2021-22,0.253,0.745,0.401,0.588,-0.3801,0.1175,-0.0175,-0.118
