"","conference","hoopr","FGM_off","FGA_off","3PTM_off","3PTA_off","FTM_off","FTA_off","OREB_off","DREB_off","REB_off","AST_off","STL_off","BLK_off","TO_off","PF_off","PTS_off","result_off","FGM_def","FGA_def","3PTM_def","3PTA_def","FTM_def","FTA_def","OREB_def","DREB_def","REB_def","AST_def","STL_def","BLK_def","TO_def","PF_def","PTS_def","result_def","year","Team","Conference","power_conf"
"1","Southland","Texas A&M-CC",-0.00468308764674411,0.0024049135327114,-0.0108674700965566,-0.0525256185217725,-0.0077057844198138,-0.0160136781810306,-0.000509503491042975,0.0425737874761317,0.0420642839850888,0.0336704211070496,-0.000913790635824687,-0.0245945628520837,0.00413160137589903,0.0182270299134193,-0.0279394298098586,0.375,0.0680671541775257,0.0494991588458914,6.10426062186649e-05,-0.0389146524335142,-0.0853837214936951,-0.0753999235349431,0.0189363850216706,0.0047838149747348,0.0237201999964054,0.0280861315312972,0.00496302115518463,-0.0181378615610184,0.00261319253115428,-0.0132172218387301,0.0508116294675749,0.3,"2021-22","Texas A&M-CC","Southland",FALSE
"2","WAC","Abilene Christian",0.00212732234061938,-0.0248668818477032,0.00330326542692966,-0.0219877705567662,0.0840085380177718,0.0913791267449294,-0.0146477557657235,-0.0574351693351164,-0.07208292510084,0.00949083013114098,0.0404459328606795,-0.0236354963357359,-0.0299876896857892,0.0592539267497945,0.0915664481259402,0.875,0.0451661845091068,0.122058327085203,0.0108639173515525,0.030569260120155,-0.0679350835447312,-0.0774728613103857,0.0120991712535468,0.011836849574964,0.0239360208285108,0.0285507138752619,0.0323598795375193,-0.0082204759221181,-0.0758710968550865,-0.041032083730713,0.0333327338902612,0.692307692307692,"2021-22","Abilene Christian","WAC",FALSE
"3","MWC","Air Force",-0.0251738993837434,-0.0246736322071262,-0.0150398051798671,0.00649790748109775,-0.0305181693180744,-0.0282465374360399,-0.0363820737791462,-0.0948354605088511,-0.131217534287997,-0.000262010346422058,-0.0239991657512265,-0.00607656595096836,0.000720034899837452,0.018578456517419,-0.0959057732654282,0.75,-0.0244578214248823,0.0109300360929803,0.0179344809757123,0.0677101519738355,-0.086397261187275,-0.0670502277468429,-0.0134707400084318,-0.0620810970225243,-0.0755518370309561,-0.0277365438374633,0.0130954853921226,-0.0307644719872947,0.00510132410719875,-0.00684188719824555,-0.117378423061327,0.6,"2021-22","Air Force","MWC",FALSE
"4","MAC","Akron",0.0194529507955423,-0.0247471675200115,0.0118470007292951,-0.00711594891731135,0.0596401352489439,0.0672237252935965,-0.0167570781528682,0.0172006956238581,0.000443617470989949,-0.0114660720489796,0.0267969091657026,-0.0021869070894916,-0.0215883497620391,-0.00898355522023092,0.110393037569324,0.625,0.0201271945532956,-0.00784150823771641,0.00837659387870057,0.0102572542170977,0.0235340316018811,0.0323564191367197,0.00810985942669549,0.0187212148718777,0.0268310742985732,0.0237447828614898,0.00501613283354906,0.00823064265786582,0.00171454324425519,-0.0412474943660816,0.0721650145871729,0.384615384615385,"2021-22","Akron","MAC",FALSE
"5","SEC","Alabama",0.0129215798115003,0.0292791641739502,0.0330323636644888,0.1152090541119,0.0153482205880607,0.0009927961656006,0.0432717410261057,-0.0174270732779052,0.0258446677482005,0.0221508012380567,0.00155066484254724,0.00463831215857504,0.0135557465392911,-0.00489437229467482,0.0742237438755501,0.875,-0.00796912337468962,0.043104537569121,-0.0100951352413522,0.0486835035427182,-0.0406949296222395,-0.0358082612202522,0.0275491295251243,0.0302704729139173,0.0578196024390417,0.00276703794863928,-0.026479532574446,0.0061725411875326,0.000200226892914274,0.0297101107785132,-0.066728311612971,0.8,"2021-22","Alabama","SEC",TRUE
"6","SWAC","Alabama A&M",-0.0429690590949149,-0.000269708013073661,-0.0460675008536622,-0.102985136973041,0.0757665418277621,0.0772356821978252,0.00491012418141436,0.101532910617777,0.106443034799192,-0.0634297101897672,-0.0339590891822209,0.00729702199966531,-0.028803867972555,-0.0233323498293818,-0.0562390772157299,0.125,0.00553014994869178,-0.105768418235779,0.00647264109115152,-0.0432492147453085,0.0367527274600964,0.047544693765633,-0.03383777631855,-0.0388629562683941,-0.0727007325869441,0.0231941451127558,0.00486956957699435,0.00615036302812691,0.0510109766603502,-0.0180941973847973,0.0542856684486314,0.111111111111111,"2021-22","Alabama A&M","SWAC",FALSE
"7","SWAC","Alabama State",-0.018633212115607,-0.0276418857559351,-0.00102161214295765,-0.00287265926577928,0.0382847867849331,0.0504411324722667,-0.0120830651245292,-0.0762257114522012,-0.0883087765767304,-0.00702639269967144,0.00545331792197556,-0.00587324511014244,-0.00663527765639152,0.000710731805706143,-3.24958923851593e-06,0.25,-0.0509963837994204,0.0229245605862122,-0.0136362291383413,0.00550003968155205,-0.0384776366390462,-0.0523507092311236,0.0109146989666392,0.00182465359592405,0.0127393525625632,-0.0238520731242479,0.00228676376160673,-0.00435090516059632,0.0110244504421214,-0.0245526015220208,-0.154106633376228,0.142857142857143,"2021-22","Alabama State","SWAC",FALSE
"8","Am. East","Albany",-0.0247733262219024,0.0236182003989605,-0.0237766859887314,-0.0584439958445847,-0.0359304812794128,-0.0351699631621658,0.00562862041736767,-0.055861104944817,-0.0502324845274493,-0.0296382808036018,0.0101299485568954,-0.0178413971671331,-0.00251479619023978,0.0497348563723155,-0.10529240502458,0.25,0.0221778537252907,0.108534037841909,-0.0043546410124636,0.0387910596360912,-0.0575667485860433,-0.0637938576154127,0.042503590355683,-0.0579893662560108,-0.0154857759003278,-0.0065746450115296,0.0187378974501474,-0.027351608766559,-0.0379611501354443,0.0104042069118176,-0.0174030858095951,0.142857142857143,"2021-22","Albany","Am. East",FALSE
"9","SWAC","Alcorn State",0.00186890509243721,0.0449975071377404,-0.023836676129455,-0.0582337485968751,-0.0369278892390585,-0.0162152194268755,0.0297894155667034,0.0173289382263433,0.0471183537930467,-0.0293468093454841,-0.012487299084458,-0.00547164246289232,-0.00807339502321182,0.00414968739325412,-0.057026755183639,0.375,0.0055651449991879,0.00615226374977631,-0.00563406337050828,-0.00110145114531693,-0.0261574218059836,-0.0342874499936401,0.00784789358883474,-0.0232668943286127,-0.0154190007397779,-0.00207256293964634,0.0120889339063852,-0.0182323676785574,0.0167821078362601,0.0247216766066806,-0.0206611951781161,0.25,"2021-22","Alcorn State","SWAC",FALSE
"10","Patriot","American University",-0.00911513484511793,-0.0358495779161146,-0.0356733888535789,-0.0859587092858383,-0.00745475662900108,-0.0209865426310326,-0.0101406966867274,0.0236487861107404,0.013508089424013,-0.00478228559777768,0.00853634430747945,0.00482346231019907,0.0349429599870415,-0.00897839569707622,-0.0613584151728159,0.375,-0.0182143187817669,0.0119343695078949,-0.011721876769428,-0.0199835103314009,-0.00961719784879369,-0.00703500001288509,0.0139488835763513,0.0391032999477822,0.0530521835241335,-0.0431809228818361,-0.00995102142027661,-0.0114057966159609,0.00510991407412581,0.0227302801066553,-0.0577677121817555,0.375,"2021-22","American University","Patriot",FALSE
